Altium Designer Pick and Place Locations
C:\Users\sinan\Projekte\P3137_Miromico_Energy_Harvesting\Hardware\trunk\MiroCard\ProjectOutput\P3137_MiroCard_Default_ProductionData_V2.0\Pick Place\Pick Place for MiroCard(default).csv

========================================================================================================================
File Design Information:

Date:       16.12.20
Time:       14:37
Revision:   9285
Variant:    default
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U1","LEH3_50x30_6_10","BottomLayer","50x30_Flat_6_Cell_-_Gen_2-Footprint-1","32.7500","1.0000","180","Solar Cell 50x30 Flat 6 Cell"
"R403","AC0402FR-0710KL","TopLayer","RESC0201(0603)_L","7.6000","12.6250","90","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"C406","GRJ155R60J106ME11D","TopLayer","CAPC0402(1005)60_L","7.6250","11.2000","270","10µF ±20% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"
"L100","CKS2125100M-T","TopLayer","INDC0805(2012)X11_L","28.5250","3.6500","180","FIXED IND 10UH 110MA 520 MOHM"
"Y100","ABS07-120-32.768KHZ-T","TopLayer","ABRA-ABS07_A_V","25.8250","15.0000","180","Tuning Fork Crystal, 32.768 KHz, +/- 20 ppm, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"X100","TSX-3225 24.0000MF15X-AC3","TopLayer","EPSON-TSX-3225_V","35.9558","10.1587","270","MHz Range Crystal, 24 MHz, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"
"U300","AEM10941","TopLayer","QFN50P500X500X85_HS-29N","58.0500","11.4000","180","Highly-efficient, regulated dual-output, ambient energy manager"
"U405","LIS3DHTR","TopLayer","FP-LGA-16-7983231-MFG","10.2000","12.4000","270","ACCEL 2-16G I2C/SPI 16LGA"
"U402","DRV5032FBDBZR","TopLayer","SOT23-3","2.8500","23.4500","180","HAL SENSOR, ULTRA-LOW POWER, 1.65V TO 5.5V"
"U400","SHT31-DIS-B","TopLayer","8__-__Pin_DFN_2.5__x__2.5__mm_x_0.9_mm","2.2250","16.4250","90","SENSIRION         SHT31-DIS-B             Humidity Sensor, 2 %, 3.3 V, 0% to 100% Relative Humidity, TDFN, 8 Pins, 8 s"
"U202","TLV840XXDH43DBVR","TopLayer","SOT23-5_SOT-23-5","42.2250","12.5000","90","Low-voltage supervisor with adjustable-reset time delay and manual reset"
"U201","LTC1540IDD#TRPBF","TopLayer","LT-DD8_V","46.4750","6.7750","90","Nanopower Comparator with Reference, 1 Channel, 2 to 11 V, -40 to +85 degC, 8-pin Plastic DFN (DD8), Tape and Reel"
"U200","ADG659YCPZ-REEL7","TopLayer","CP-16-4_L","41.6000","6.2750","90","3 V / 5 V / +/-5 V CMOS 4-Channel Analog Multiplexer, -40 to 85 degC, 16-pin QFN (CP-16-4), Reel"
"U100","CC2650F128RGZR","TopLayer","RGZ0048A_V","28.2250","8.6500","270","CC2650 SimpleLink(TM) Multistandard Wireless MCU, 1.8 to 3.8 V, -40 to 85 degC, 48-Pin VFQFN, Green (RoHS & no Sb/Br), Tape and Reel"
"SW101","KMT021NGJLHS","TopLayer","KMT021NGJLHS-Footprint-1","10.9000","5.4250","90","Sensorschalter Ultra-LW Tact SW SMT SPNOFa 1.6N HF"
"SW100","KMT021NGJLHS","TopLayer","KMT021NGJLHS-Footprint-1","15.6250","5.3250","90","Sensorschalter Ultra-LW Tact SW SMT SPNOFa 1.6N HF"
"R303","CRCW04025M49FKED","TopLayer","RESC0402(1005)_L","56.6500","15.2000","0","5.49 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R304","CRCW04024M42FKED","TopLayer","RESC0402(1005)_L","56.6500","16.1000","0","4.42 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R404","AC0402FR-0710KL","TopLayer","RESC0201(0603)_L","9.9500","9.8250","360","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R402","AC0402FR-0710KL","TopLayer","RESC0201(0603)_L","10.9250","14.9750","180","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R401","AC0402FR-0710KL","TopLayer","RESC0201(0603)_L","4.2500","19.4000","270","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R400","AC0402FR-0710KL","TopLayer","RESC0201(0603)_L","4.2750","21.0000","90","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R318","RMCF0402ZT0R00","TopLayer","RESC0402(1005)_L","63.5000","14.8500","360","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R312","RMCF0402ZT0R00","TopLayer","RESC0402(1005)_L","63.5000","16.4750","180","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R311","RMCF0402ZT0R00","TopLayer","RESC0402(1005)_L","63.5000","18.0750","180","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R309","RMCF0402ZT0R00","TopLayer","RESC0402(1005)_L","59.1250","15.2250","180","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R307","RMCF0402ZT0R00","TopLayer","RESC0402(1005)_L","61.1250","16.0500","360","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R301","RMCF0402ZT0R00","TopLayer","RESC0402(1005)_L","54.9500","16.1000","0","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R207","RMCF0402FT100K","TopLayer","RESC0402(1005)_L","44.4250","13.3750","270","100 kOhms ±1% 0,063W, 1/16W Chipwiderstand 0402 (1005 metrisch) AutomobilzulassungAEC-Q200 Dickschicht"
"R206","RMCF0402FT2M40","TopLayer","RESC0402(1005)_L","47.3500","10.0250","360","2.4 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R205","RMCF0402FT1M18","TopLayer","RESC0402(1005)_L","46.1500","4.3750","180","1.18 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R204","RMCF0603ZT0R00","TopLayer","RESC0603(1608)_L","45.0000","9.3750","360","0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R202","CRCW04023M16FKED","TopLayer","RESC0402(1005)_L","46.1500","3.5000","360","3.16 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R201","RMCF0402FT100K","TopLayer","RESC0402(1005)_L","40.0500","11.5750","270","100 kOhms ±1% 0,063W, 1/16W Chipwiderstand 0402 (1005 metrisch) AutomobilzulassungAEC-Q200 Dickschicht"
"R200","PFR05S-153-FNH","TopLayer","RESC0402(1005)_L","47.3500","9.1500","360","15 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)  Thick Film"
